css-175oi2r href,css-9pa8cd src,css-1jxf684,css-1jxf684 2,css-1jxf684 3,css-146c3p1,css-1jxf684 4,css-1jxf684 5,css-1jxf684 6,css-1jxf684 7,css-146c3p1 href,css-175oi2r href 4
https://x.com/ProudSocialist,https://pbs.twimg.com/profile_images/1712129275879407616/UehnD0bo_normal.jpg,Power to the People ☭,@ProudSocialist,Follow,Click to Follow ProudSocialist,"Rubio: “Imagine if instead of spending billions on weapons, Iran spent that money on its people. They’d have a much different country.”

Imagine if instead of spending TRILLIONS on war the US spent that money on its people. We’d have a better country & the world would have peace.",0:13,"5:22 AM · Mar 31, 2026",·,https://x.com/ProudSocialist/status/2038728611889328346/analytics,https://x.com/HororPotong
https://x.com/noodleandeggrol,https://pbs.twimg.com/profile_images/1418053089244848129/OIx_BnYW_normal.jpg,H** S**,@noodleandeggrol,·,18h,"Not sure if he's really that stupid, or is this some psychological operation.",20,29,1.1K,https://x.com/noodleandeggrol/status/2038729312405520798,https://x.com/noodleandeggrol/status/2038729312405520798/analytics
https://x.com/ProudSocialist,https://pbs.twimg.com/profile_images/1712129275879407616/UehnD0bo_normal.jpg,Power to the People ☭,@ProudSocialist,·,18h,Oh they know what they are doing. They are blatantly spitting in our faces.,8,24,788,https://x.com/ProudSocialist/status/2038729527040360519,https://x.com/ProudSocialist/status/2038729527040360519/analytics
,,Show replies,,,,,,,,,
https://x.com/Iran_Watch_,https://pbs.twimg.com/profile_images/2038632128972292096/AVvq9bvW_normal.jpg,Iran Unfiltered,@Iran_Watch_,·,20m,The borders are closed and the missiles are aimed. Let the Orange Pig try to open the path!,30,,,https://x.com/Iran_Watch_/status/2038998670108922114,https://x.com/Iran_Watch_/status/2038998670108922114/analytics
https://x.com/Foo_Olitics,https://pbs.twimg.com/profile_images/2002188606203691008/RJl2uyGS_normal.jpg,FOO_OLITICS,@Foo_Olitics,·,15h,"There’s no way he said that when America is suffering also, This administration is a joke",234,,,https://x.com/Foo_Olitics/status/2038767796646219835,https://x.com/Foo_Olitics/status/2038767796646219835/analytics
https://x.com/Zaintweetz,https://pbs.twimg.com/profile_images/2026498194134413312/uEYdPF3D_normal.jpg,Ibn Adam,@Zaintweetz,·,9h,,514,,,https://x.com/Zaintweetz/status/2038858538081247360,https://x.com/Zaintweetz/status/2038858538081247360/analytics
https://x.com/JennyWilliamshe,https://pbs.twimg.com/profile_images/1966283952898912256/tBF1I2-p_normal.jpg,Shellz,@JennyWilliamshe,·,14h,This guy has the nerve to say this when our Country is in the very exact situation.,36,1,1,https://x.com/JennyWilliamshe/status/2038779771325395192,https://x.com/JennyWilliamshe/status/2038779771325395192/analytics
https://x.com/NanciNanci7,https://pbs.twimg.com/profile_images/1986981020067852288/7OeMiiqu_normal.jpg,Nanci@Nanci,@NanciNanci7,·,6h,,112,3,,https://x.com/NanciNanci7/status/2038909490011963562,https://x.com/NanciNanci7/status/2038909490011963562/analytics
https://x.com/MaddickKeith,https://pbs.twimg.com/profile_images/1951286551595319296/mIsAnmJ0_normal.jpg,Keith Maddick,@MaddickKeith,·,16h,,2K,1,31,https://x.com/MaddickKeith/status/2038747814356787234,https://x.com/MaddickKeith/status/2038747814356787234/analytics
https://x.com/ProudSocialist,https://pbs.twimg.com/profile_images/1712129275879407616/UehnD0bo_normal.jpg,Power to the People ☭,@ProudSocialist,Follow,Click to Follow ProudSocialist,"Rubio: “Imagine if instead of spending billions on weapons, Iran spent that money on its people. They’d have a much different country.”

Imagine if instead of spending TRILLIONS on war the US spent that money on its people. We’d have a better country & the world would have peace.",0:11 / 0:20,"5:22 AM · Mar 31, 2026",·,https://x.com/ProudSocialist/status/2038728611889328346/analytics,https://x.com/HororPotong
https://x.com/dali0729,https://pbs.twimg.com/profile_images/2036729858135584769/ihqU1FAc_normal.jpg,Dali,@dali0729,·,9h,"Also, no sanctions for over 40 years would have helped.",751,,,https://x.com/dali0729/status/2038856991872020857,https://x.com/dali0729/status/2038856991872020857/analytics
https://x.com/adeodatus313,https://pbs.twimg.com/profile_images/2022890025013125120/Xk7daYtC_normal.jpg,"Si Deus pro nobis est, quis contra nos esse potest",@adeodatus313,·,17h,"Imagine spending trillions on Universal Health care, food for the 40% Americans who can barely get by, free advanced education and skills training (not subject to Jew usury!!), organic pesticide free food, beautiful architecture, instead of money for Israel, wars, psy op programs",4.7K,2,26,https://x.com/adeodatus313/status/2038746404936433802,https://x.com/adeodatus313/status/2038746404936433802/analytics
